**** PROYECTO YAYACC ****
- Jocelyn de León
- Kevin Romero
- José De León

GRAMÁTICA VÁLIDA
11/22/2021 4:59:04 PM

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
STATES                                                                                              |STACK                                                                                                                                                      |ACTION  
0  2  4  2  4  2  4  2  4  3  5                                                                     |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   T_NONT      T_SEPARATOR                        |S5      
0  2  4  2  4  2  4  2  4  3  5  8                                                                  |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   T_NONT      T_SEPARATOR T_TERMINAL             |S8      
0  2  4  2  4  2  4  2  4  3  5  8                                                                  |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   T_NONT      T_SEPARATOR T_TERMINAL             |R8      
0  2  4  2  4  2  4  2  4  3  5  7                                                                  |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   T_NONT      T_SEPARATOR RULE                   |R3      
0  2  4  2  4  2  4  2  4  2  4                                                                     |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE                          |S4      
0  2  4  2  4  2  4  2  4  2  4  3                                                                  |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   T_NONT                 |S3      
0  2  4  2  4  2  4  2  4  2  4  3  5                                                               |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   T_NONT      T_SEPARATOR |S5      
0  2  4  2  4  2  4  2  4  2  4  3  5  8                                                            |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   T_NONT      T_SEPARATOR T_TERMINAL  |S8      
0  2  4  2  4  2  4  2  4  2  4  3  5  8                                                            |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   T_NONT      T_SEPARATOR T_TERMINAL  |R8      
0  2  4  2  4  2  4  2  4  2  4  3  5  7                                                            |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        |R3      
0  2  4  2  4  2  4  2  4  2  4  2  4                                                               |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   |S4      
0  2  4  2  4  2  4  2  4  2  4  2  4                                                               |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   |R2      
0  2  4  2  4  2  4  2  4  2  4  6                                                                  |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S'                     |R1      
0  2  4  2  4  2  4  2  4  6                                                                        |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S'                                             |R1      
0  2  4  2  4  2  4  6                                                                              |#           S           T_ENDLINE   S           T_ENDLINE   S           T_ENDLINE   S'                                                                     |R1      
0  2  4  2  4  6                                                                                    |#           S           T_ENDLINE   S           T_ENDLINE   S'                                                                                             |R1      
0  2  4  6                                                                                          |#           S           T_ENDLINE   S'                                                                                                                     |R1      
0  1                                                                                                |#           S'                                                                                                                                             |ACCEPTED

